version,sha256,datetime,sources
10.1.1.16,0ae5288fb41d9e58ad48600e6abe147bb7fe8ae850a490a3ec05fab9b9bd17e4,2006-02-07 23:13:46,f3f201eb8024d850c04e76507c90cbe301628a11747c8f813723b1a76123df79 director-win-10.1.1 director-mac-10.1.1
10.1.3.18-20060606130441,6aeb657ba5a2e31eec49495983c64562e5bf0a663293bae2d64e45ff56b63f4a,2006-06-06 13:04:41,65da13aafe32d5ef9c6c3950a2032081f2874dfc269dc99e54e7b6eaa8ef81c0
10.1.3.18-20060630030636,591fac4d5e9fe8024d90f788934e7e073b7d2c37d7eba61155282f697ae784a6,2006-06-30 03:06:36,89c8ddbd3a2a71f0bde1b1780aaff59b07e8f60e040e8cc01c6f366463363aa8
10.1.4.20-20060923064825,5bc2b570e2e35d048ec9c29ece1d6239021f8c26cb2fcffad57766ed08514071,2006-09-23 06:48:25,0b506450e4673cea48d3da3c2dc940613ef0db954a6553894257dd0122fd9725 514ec47b4f5a6160c781ab952435fd6fd48fd37ed727d2eeaf7216e69a93c9c6
10.1.4.20-20070205014427,710c629c380bd91da7b31c74dac8093428fd82feb19cdb6855810c076e02fd3e,2007-02-05 01:44:27,3fa361618727a1ab4de699ccfb71ade87b574fc56805ec7b65b6e0bbc6d8cbf6
10.2.0.21,a894569cf56f98be6ba35be72194204ef4980b18914f77e3cbb4ec9a23e9c83b,2007-04-17 13:31:53,386c723248f04def9aac6ead548ffbe513cdfa682c4236769c61328e9650c7fc
10.2.0.22,1731ccffdd87ce77adfd91c8c5a2c73007412fe736c428d5f414fb9bbc7c4619,2007-04-30 10:35:30,0bcf47c8bd91f346d1fdc887674d7e07f1d62cbc0f41cd9ba7970987d1b2f4b1
10.2.0.23,7b19ad04af71fcbe330769c04d9ac78c81ba745a8e3275caec8fde6a5d15bc56,2007-08-07 07:47:22,3329e4308b71bcf69e2c72bf50cf358a7e5fdbe77e9bf258be6f1acc62efc267 fc18a7ff6c6f511d961db8d129e255812855a6ec4a6e75bb896a8b5cfd5e7873
10.3.0.24,3d793ec442b9000862b156798431733d3da1ee6518467a0f16377f361164c128,2008-01-03 12:29:12,3061fd438b1391d2e8993f6539483039acb9c44c1901277d9023cd1eb58c6d05
11.0.0.426,541acb98c4d8dbc5d9669327f46c01231c630360fd657beb381f4a388575f120,2008-03-07 14:36:09,director-win-11.0.0 director-mac-11.0.0 director-mac-11.0.0-hotfix-1
11.0.0.429,6df0ee5009439beb321e90dd20600cd15e8c78970629f6ccdf7f105e6a411afd,2008-03-19 13:12:40,bff6eab7ee391812c6ef3b7a3e889a2ebd77974f0e7497b7f7bd893bea962e6b
11.0.0.458,3c72933a2a7ab7c75ae6c47c3525a449c616a32e89a8468160a9d5a01affa5e8,2008-06-17 10:02:17,2f2d8139d4a2e72386c5f55f0e7aa1deead7c8f23a61f9e09db2cbd7b8bc5d58
11.0.0.465,bdd96eea7d6d7830406ada6bf261381045aa10d2b40d75a5728a4a40e67801d7,2008-08-06 10:12:03,cfc7b3c0c3044b05383c4a25ff6a93236f616e71f270fd44b8d41e88ba810319
11.0.3.466,06546184fb26b59a5f1aa61a7b6691c7a9e710050f3a11609a14759f2a8bc2fe,2008-10-24 10:17:34,director-win-11.0.0-hotfix-3 director-mac-11.0.0-hotfix-3
11.0.3.470,b5d4546196afaf9ecdca1cc97a0e1977c64dd40b7d682bcdf5cd0ea85c74df67,2008-11-04 04:22:09,cfcd8330f99fc50ab9368fdb7fbb4756a51bd59f55380239bb7e4182d11f18b2
11.0.3.471,b2d27c70fa8dc7dda3978189cb33c8d51895eaf0beca78ed5fe27dd343723495,2008-11-24 08:42:13,f6b9614c839c0361fb9ba3d127150288042562be2f744cfb6929697e858cc91e
11.0.3.472,1e40ff3c27ffc2f74185004e40cfe1c0f708aaf7456389307569c7c943d88199,2009-01-16 13:24:41,d8c937bdaf65223befb49458b1e11ab95e16936d12ca8dd89f0d5997a649c38f
11.5.0.593,0a84975630de224e4b5d700d595103c10dd88939137fdc4f987036b2834c9105,2009-03-15 04:41:07,director-win-11.5.0 director-mac-11.5.0
11.5.0.595,8bcf415866c4eba6625673156a59bc1d5fd55833beee8abd1a31b8dfe622d6d3,2009-03-19 15:20:58,f2943c120ec6c5c4d696f351ce64721630083f0fdf7e08d693ae75bec6b34eba
