version,sha256,datetime,sources
10.1.3.18-20060529120318,e1d0338bcbf28260427b76560a872a5846d24ea13ce6014223e493d26a9339ef,2006-05-29 12:03:18,65da13aafe32d5ef9c6c3950a2032081f2874dfc269dc99e54e7b6eaa8ef81c0
10.1.3.18-20060625161023,667cddd37a132776fc90611912643355505e664749aa27e709508f686e7330d8,2006-06-25 16:10:23,89c8ddbd3a2a71f0bde1b1780aaff59b07e8f60e040e8cc01c6f366463363aa8
10.1.4.20,a4cabb956febe34d5ca6deaa1cfb72e11f1920394d5c99f758104895cdc27195,2006-09-03 07:41:17,0b506450e4673cea48d3da3c2dc940613ef0db954a6553894257dd0122fd9725 3fa361618727a1ab4de699ccfb71ade87b574fc56805ec7b65b6e0bbc6d8cbf6 514ec47b4f5a6160c781ab952435fd6fd48fd37ed727d2eeaf7216e69a93c9c6
10.2.0.21,4b5c3162137a34c1866f265b35d2edaf0e2b179f43a10bab9cc903ed97d6cefc,2007-04-17 13:34:51,386c723248f04def9aac6ead548ffbe513cdfa682c4236769c61328e9650c7fc
10.2.0.22,be82b2d4225230c7cc8213b1960fa782440a4d9c7f964c3d3771eb8f69179a4a,2007-04-30 10:38:39,0bcf47c8bd91f346d1fdc887674d7e07f1d62cbc0f41cd9ba7970987d1b2f4b1
10.2.0.23,88012f35a274592695582f0f938f57604332e7b208fcced68e26bccd95830aa2,2007-08-07 07:49:39,3329e4308b71bcf69e2c72bf50cf358a7e5fdbe77e9bf258be6f1acc62efc267 fc18a7ff6c6f511d961db8d129e255812855a6ec4a6e75bb896a8b5cfd5e7873
10.3.0.24,780e3cae9087f2f07b70a0d36f74c617eebab84baa439716f6d2ed9fb2cc002f,2008-01-03 12:31:45,3061fd438b1391d2e8993f6539483039acb9c44c1901277d9023cd1eb58c6d05
11.0.0.426,0546ca531a08e729188933245ae94fb667a862a3c9d5678338868c7fc5c555c3,2008-03-07 14:39:50,director-win-11.0.0 director-mac-11.0.0
11.0.0.429,7857799aba6179565da9b2724447aafff53f1225e39c79fcab152b03ee4fcae8,2008-03-19 13:16:25,bff6eab7ee391812c6ef3b7a3e889a2ebd77974f0e7497b7f7bd893bea962e6b
11.0.0.430,c94411e4c0e4ed97ca7a7095fa4a716e4b5bf1f6a07408678e14193b85c3a86c,2008-04-10 06:47:16,director-mac-11.0.0-hotfix-1
11.0.0.458,d7a4f73c07368315e0ac4381d99f461af8015bbaa31404ace2fd861e14d486aa,2008-06-17 10:05:58,2f2d8139d4a2e72386c5f55f0e7aa1deead7c8f23a61f9e09db2cbd7b8bc5d58
11.0.0.465,2e95d1df747f232d85411f53a4aedf3cace949ea77d9a430d133035a76b9f23b,2008-08-06 10:15:39,cfc7b3c0c3044b05383c4a25ff6a93236f616e71f270fd44b8d41e88ba810319
11.0.3.466,9fdc8d5977ab8703fb993090729871dd8e118cd47c22ab7e83f714f17fa64316,2008-10-24 10:21:18,director-win-11.0.0-hotfix-3 director-mac-11.0.0-hotfix-3
11.0.3.470,188a1e76b7aba13f4eee1b30a21519095364bee65dcea0e3d120b2b452e257c8,2008-11-04 04:26:38,cfcd8330f99fc50ab9368fdb7fbb4756a51bd59f55380239bb7e4182d11f18b2
11.0.3.471,f1f33df007e7f198cd240e11416c6f0b79d7e094cfef034fd14a010ba656b675,2008-11-24 08:46:04,f6b9614c839c0361fb9ba3d127150288042562be2f744cfb6929697e858cc91e
